model,model_id,form_id,answer_run_id,experiment_id,trial_id,usable,full_fill_success,stop_reason,verified_correctness,question_total,correctness_pct,action_count,duration_s,total_tokens,estimated_usd_lower_bound,failure_category,failure_detail,source_summary
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,job_fair,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T014129178053Z,true,false,max_steps_exceeded,6,9,66.67,32,607.242,51384,0.077076,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/job_fair/run_0002/trial_20260710T014129178053Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,lab_safety,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T004036234866Z,true,false,max_steps_exceeded,5,8,62.5,32,1606.728,50644,0.075966,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/lab_safety/run_0002/trial_20260714T004036234866Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,lab_visit,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T010723201160Z,true,true,filled_without_submit,8,8,100.0,24,1313.688,38008,0.057012,,,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/lab_visit/run_0002/trial_20260714T010723201160Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,language_exchange,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T015136725520Z,true,true,filled_without_submit,9,9,100.0,29,556.888,47088,0.070632,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/language_exchange/run_0002/trial_20260710T015136725520Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,library_membership,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T020053884768Z,true,true,filled_without_submit,7,7,100.0,14,251.613,21928,0.032892,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/library_membership/run_0002/trial_20260710T020053884768Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,meal_plan,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T020505807978Z,true,true,filled_without_submit,7,7,100.0,30,518.446,46388,0.069582,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/meal_plan/run_0002/trial_20260710T020505807978Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,mentor_match,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T012917124170Z,true,false,done_incomplete_fill_only,6,7,85.71,24,1242.204,37900,0.05685,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/mentor_match/run_0002/trial_20260714T012917124170Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,newsletter_signup,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T021344497891Z,true,false,done_incomplete_fill_only,6,7,85.71,13,228.326,20544,0.030816,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/newsletter_signup/run_0002/trial_20260710T021344497891Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,office_hours,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T021733142984Z,true,false,max_steps_exceeded,6,8,75.0,32,583.507,51241,0.076861,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/office_hours/run_0002/trial_20260710T021733142984Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,orientation_signup,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T060313102648Z,true,false,done_incomplete_fill_only,7,8,87.5,24,790.179,38280,0.05742,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/orientation_signup/run_0002/trial_20260714T060313102648Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,paper_review,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T023016264890Z,true,false,done_incomplete_fill_only,6,7,85.71,25,430.549,40405,0.060608,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/paper_review/run_0002/trial_20260710T023016264890Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,peer_evaluation,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T014959588904Z,true,false,done_incomplete_fill_only,6,7,85.71,17,790.412,27285,0.040927,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/peer_evaluation/run_0002/trial_20260714T014959588904Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,project_update,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T023727104891Z,true,false,done_incomplete_fill_only,7,8,87.5,26,492.738,41381,0.062072,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/project_update/run_0002/trial_20260710T023727104891Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,publication_submission,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T024540136690Z,true,false,max_steps_exceeded,4,10,40.0,32,643.811,55092,0.082638,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/publication_submission/run_0002/trial_20260710T024540136690Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,purchase_request,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T020310236721Z,true,false,max_steps_exceeded,3,10,30.0,32,1620.377,55098,0.082647,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/purchase_request/run_0002/trial_20260714T020310236721Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,remote_setup,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T023010945223Z,true,false,max_steps_exceeded,5,7,71.43,32,1598.146,49181,0.073772,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/remote_setup/run_0002/trial_20260714T023010945223Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,research_interest,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T025649347106Z,true,false,done_incomplete_fill_only,6,7,85.71,25,1378.329,39449,0.059173,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/research_interest/run_0002/trial_20260714T025649347106Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,room_booking,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T025624202459Z,true,false,max_steps_exceeded,6,9,66.67,32,605.485,52896,0.079344,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/room_booking/run_0002/trial_20260710T025624202459Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,scholarship_interest,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T030630025612Z,true,false,max_steps_exceeded,3,7,42.86,32,512.099,51164,0.076746,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/scholarship_interest/run_0002/trial_20260710T030630025612Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,seminar_proposal,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T031947960184Z,true,false,max_steps_exceeded,4,8,50.0,32,1810.487,50795,0.076192,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/seminar_proposal/run_0002/trial_20260714T031947960184Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,software_access,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T034958802451Z,true,false,max_steps_exceeded,6,8,75.0,32,1200.291,52070,0.078105,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/software_access/run_0002/trial_20260714T034958802451Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,sports_tournament,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T031502398352Z,true,false,max_steps_exceeded,3,9,33.33,32,601.216,52695,0.079043,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/sports_tournament/run_0002/trial_20260710T031502398352Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,study_group_match,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T032503915701Z,true,true,filled_without_submit,7,7,100.0,25,417.428,39142,0.058713,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/study_group_match/run_0002/trial_20260710T032503915701Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,survey_consent,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T033201665123Z,true,false,max_steps_exceeded,6,8,75.0,32,590.675,48886,0.073329,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/survey_consent/run_0002/trial_20260710T033201665123Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,technical_support,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T061623715375Z,true,false,max_steps_exceeded,4,8,50.0,32,1126.905,53296,0.079944,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/technical_support/run_0002/trial_20260714T061623715375Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,thesis_meeting,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T040959408235Z,true,false,max_steps_exceeded,5,8,62.5,32,1042.332,51358,0.077037,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/thesis_meeting/run_0002/trial_20260714T040959408235Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,travel_reimbursement,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T042722107879Z,true,false,max_steps_exceeded,7,11,63.64,32,1207.572,54370,0.081555,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/travel_reimbursement/run_0002/trial_20260714T042722107879Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,usability_test,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T035052105109Z,true,true,filled_without_submit,7,7,100.0,20,376.507,30594,0.045891,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/usability_test/run_0002/trial_20260710T035052105109Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,volunteer_shift,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T035708909001Z,true,true,filled_without_submit,7,7,100.0,23,441.337,36065,0.054097,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/volunteer_shift/run_0002/trial_20260710T035708909001Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,wellbeing_check,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T044729959226Z,true,false,max_steps_exceeded,5,7,71.43,32,972.966,51375,0.077062,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/wellbeing_check/run_0002/trial_20260714T044729959226Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,workshop_signup,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T040430564731Z,true,true,filled_without_submit,7,7,100.0,18,331.304,28218,0.042327,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/workshop_signup/run_0002/trial_20260710T040430564731Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,accessibility_feedback,run_0002,opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32,trial_20260713T214621479145Z,true,false,max_steps_exceeded,6,8,75.0,41,3639.458,0,,max_steps_exceeded,max_steps=32,data/model_baselines/opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32/computer_use_opencua_32b_direct_mcp/accessibility_feedback/run_0002/trial_20260713T214621479145Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,alumni_checkin,run_0002,opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32,trial_20260709T162517187292Z,true,true,filled_without_submit,7,7,100.0,7,186.83,0,,,,data/model_baselines/opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32/computer_use_opencua_32b_direct_mcp/alumni_checkin/run_0002/trial_20260709T162517187292Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,bug_report,run_0002,opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32,trial_20260709T162824523054Z,true,false,done_incomplete_fill_only,8,9,88.89,10,253.94,0,,done_incomplete_fill_only,verified_correctness=8/9,data/model_baselines/opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32/computer_use_opencua_32b_direct_mcp/bug_report/run_0002/trial_20260709T162824523054Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,club_application,run_0002,opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32,trial_20260713T224702158487Z,true,false,done_incomplete_fill_only,3,10,30.0,17,573.163,0,,done_incomplete_fill_only,verified_correctness=3/10,data/model_baselines/opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32/computer_use_opencua_32b_direct_mcp/club_application/run_0002/trial_20260713T224702158487Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,club_event_planning,run_0002,opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32,trial_20260713T225635776050Z,true,false,done_incomplete_fill_only,2,10,20.0,15,466.985,0,,done_incomplete_fill_only,verified_correctness=2/10,data/model_baselines/opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32/computer_use_opencua_32b_direct_mcp/club_event_planning/run_0002/trial_20260713T225635776050Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,conf_interest,run_0002,opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32,trial_20260713T230423446788Z,true,true,filled_without_submit,7,7,100.0,9,229.721,0,,,,data/model_baselines/opencua_direct_mcp_fill_only_done_50_topup20_20260713_r2_step32/computer_use_opencua_32b_direct_mcp/conf_interest/run_0002/trial_20260713T230423446788Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,conference_travel,run_0002,opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32,trial_20260709T163238733616Z,true,false,max_steps_exceeded,2,10,20.0,32,754.497,0,,max_steps_exceeded,max_steps=32,data/model_baselines/opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32/computer_use_opencua_32b_direct_mcp/conference_travel/run_0002/trial_20260709T163238733616Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,course_enrollment,run_0002,opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32,trial_20260709T164513536839Z,true,false,done_incomplete_fill_only,7,8,87.5,15,366.058,0,,done_incomplete_fill_only,verified_correctness=7/8,data/model_baselines/opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32/computer_use_opencua_32b_direct_mcp/course_enrollment/run_0002/trial_20260709T164513536839Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,course_feedback,run_0002,opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32,trial_20260709T165119889209Z,true,false,done_incomplete_fill_only,6,9,66.67,11,327.333,0,,done_incomplete_fill_only,verified_correctness=6/9,data/model_baselines/opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32/computer_use_opencua_32b_direct_mcp/course_feedback/run_0002/trial_20260709T165119889209Z/summary.json
OpenCUA direct-MCP,computer_use_opencua_32b_direct_mcp,data_annotation,run_0002,opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32,trial_20260709T165647490816Z,true,false,done_incomplete_fill_only,4,9,44.44,12,309.91,0,,done_incomplete_fill_only,verified_correctness=4/9,data/model_baselines/opencua_direct_mcp_fill_only_done_30_seed20260709_r2_step32/computer_use_opencua_32b_direct_mcp/data_annotation/run_0002/trial_20260709T165647490816Z/summary.json
