form_id,answer_run_id,question_total,non_dropdown_total,baseline_correct,ruler_correct,baseline_accuracy_pct,ruler_accuracy_pct,accuracy_difference_pp,baseline_non_dropdown_correct,ruler_non_dropdown_correct,baseline_non_dropdown_accuracy_pct,ruler_non_dropdown_accuracy_pct,non_dropdown_difference_pp,baseline_full_fill,ruler_full_fill,baseline_action_count,ruler_action_count,action_difference,baseline_duration_s,ruler_duration_s,duration_difference_s,baseline_stop_reason,ruler_stop_reason,baseline_trial_id,ruler_trial_id,baseline_summary_path,ruler_summary_path,baseline_annotations_sha256,ruler_annotations_sha256
dataset_request,run_0002,9,8,3,4,33.333333,44.444444,11.111111,3,4,37.5,50.0,12.5,False,False,32,32,0,580.557,525.372,-55.18500000000006,max_steps_exceeded,max_steps_exceeded,trial_20260729T132354646728Z,trial_20260807T162532568033Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/dataset_request/run_0002/trial_20260729T132354646728Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/dataset_request/run_0002/trial_20260807T162532568033Z/summary.json,c0f11d26210381035be7b59d929466b6438659c26cdbc8a9f73112bf190911f5,b11d0044a6ccb460c29a5e3472fc731823cfbe58dbd3006419910975954884a4
equipment_checkout,run_0002,9,8,4,4,44.444444,44.444444,0.0,3,3,37.5,37.5,0.0,False,False,32,32,0,555.709,558.925,3.216000000000008,max_steps_exceeded,max_steps_exceeded,trial_20260729T133335715439Z,trial_20260807T163418343061Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/equipment_checkout/run_0002/trial_20260729T133335715439Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/equipment_checkout/run_0002/trial_20260807T163418343061Z/summary.json,7e2692394ad404a1146946e79fcf9f3805fbd4a3b465bb127925dd1d81b4f243,f94bc3dc42b044b25600caf67f1c8c1fbeb127028aef5c06fb9396bf62a6990f
event_rsvp,run_0002,6,6,2,2,33.333333,33.333333,0.0,2,2,33.333333,33.333333,0.0,False,False,32,32,0,416.955,449.568,32.613,max_steps_exceeded,max_steps_exceeded,trial_20260729T134252073100Z,trial_20260807T164337663909Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/event_rsvp/run_0002/trial_20260729T134252073100Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/event_rsvp/run_0002/trial_20260807T164337663909Z/summary.json,23a91cc8417082e9ba889a7ea9e2daec314b756d1a8a041e08b8e10b746dcc40,fa682e69eb4dbee1aebc05513461a9c8c4e05b7551647f8bbb5a1bd368ee1c4e
exam_registration,run_0002,8,7,4,4,50.0,50.0,0.0,4,4,57.142857,57.142857,0.0,False,False,32,32,0,501.938,505.839,3.9010000000000105,max_steps_exceeded,max_steps_exceeded,trial_20260729T134949538714Z,trial_20260807T165107678252Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/exam_registration/run_0002/trial_20260729T134949538714Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/exam_registration/run_0002/trial_20260807T165107678252Z/summary.json,e5f98b95242c0d9906253ac09fa8f422800b04ea28a73bc13dee1a29d94d828a,bc3f3eb10e36f42ca4c6413604642e759d85a80a62781caa4f633b5fae6280cd
experiment_booking,run_0002,9,8,3,3,33.333333,33.333333,0.0,3,3,37.5,37.5,0.0,False,False,31,32,1,515.665,531.373,15.708000000000084,max_steps_exceeded,max_steps_exceeded,trial_20260729T135811950111Z,trial_20260807T165933957541Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/experiment_booking/run_0002/trial_20260729T135811950111Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/experiment_booking/run_0002/trial_20260807T165933957541Z/summary.json,31664209ec75854d60042f7600ca62e4df7fddbd10b7ffb87bb37610944e6dfc,f7478d0465b8a9db2520d6f38b79efeb5db5e3772599529d7eead624cd3185be
field_trip,run_0002,8,7,4,3,50.0,37.5,-12.5,3,3,42.857143,42.857143,0.0,False,False,32,32,0,556.87,510.141,-46.728999999999985,max_steps_exceeded,max_steps_exceeded,trial_20260729T140648181600Z,trial_20260807T170825791602Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/field_trip/run_0002/trial_20260729T140648181600Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/field_trip/run_0002/trial_20260807T170825791602Z/summary.json,4aa0b0a7eb56e8b80ca0b6f788b4e3a4b258a0f17df1caf7cac59926382cab55,a51b1c06a5898963cbb676dc2f9c6190e6ad9a4420d0bda945221611c854a401
hackathon_signup,run_0002,9,9,1,4,11.111111,44.444444,33.333333,1,4,11.111111,44.444444,33.333333,False,False,16,25,9,291.698,423.697,131.99900000000002,repeated_action_loop,repeated_action_loop,trial_20260729T141605512568Z,trial_20260807T171656367524Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/hackathon_signup/run_0002/trial_20260729T141605512568Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/hackathon_signup/run_0002/trial_20260807T171656367524Z/summary.json,e8dca55067c6718e8568f35a6445ea9fbb6f99581e44afa2a397e66a53e27138,b28af7be9cd2603a6a0ee278bdb7af251ed007171a24f18795bc8f9d3d9dc1c8
housing_preference,run_0002,7,7,4,3,57.142857,42.857143,-14.285714,4,3,57.142857,42.857143,-14.285714,False,False,32,32,0,486.473,482.003,-4.470000000000027,max_steps_exceeded,max_steps_exceeded,trial_20260729T142057848272Z,trial_20260807T172400499609Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/housing_preference/run_0002/trial_20260729T142057848272Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/housing_preference/run_0002/trial_20260807T172400499609Z/summary.json,480f5720abbe7ab66ed9c5fca6dbd41f391047bd8e943bffbd09130647ea57c8,673d169dfbb3677b57eb2ea78e2ec16a7e0860da3290d0c45c1240ee39b99a8a
internship_app,run_0002,12,12,4,4,33.333333,33.333333,0.0,4,4,33.333333,33.333333,0.0,False,False,32,32,0,650.148,623.417,-26.730999999999995,max_steps_exceeded,max_steps_exceeded,trial_20260729T142905057845Z,trial_20260807T173203021304Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/internship_app/run_0002/trial_20260729T142905057845Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/internship_app/run_0002/trial_20260807T173203021304Z/summary.json,4b3f44f697d8f0e19cef9db52769c44d7e5c5322d119a790884aaf30d11f1fb1,3cade58075f9fad724c0cf19578dfbf3276c28f5c69be01d0f312500d99bb011
job_fair,run_0002,9,9,3,3,33.333333,33.333333,0.0,3,3,33.333333,33.333333,0.0,False,False,32,31,-1,579.564,541.81,-37.75400000000002,max_steps_exceeded,max_steps_exceeded,trial_20260729T143955634528Z,trial_20260807T174226972839Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/job_fair/run_0002/trial_20260729T143955634528Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/job_fair/run_0002/trial_20260807T174226972839Z/summary.json,9a6257fd71d2b417c9e45b847e95789d61f192f5f13762141076e0c1e9b43496,a3241f757056740f70067d5ad67f167859ea7e0c98f68e7515a62e14767afec4
lab_safety,run_0002,8,7,6,2,75.0,25.0,-50.0,5,2,71.428571,28.571429,-42.857143,False,False,32,32,0,538.935,548.331,9.396000000000072,max_steps_exceeded,max_steps_exceeded,trial_20260729T144936049112Z,trial_20260807T175129287686Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/lab_safety/run_0002/trial_20260729T144936049112Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/lab_safety/run_0002/trial_20260807T175129287686Z/summary.json,62cbbefd7642b93a8f39fa74f3a6fe50db70446de20a7c6f823b1c7046d3313a,772170e49a2cba5eccb88d19afdffb972648466e8af8ca0b81403bea768fb4cb
lab_visit,run_0002,8,8,3,3,37.5,37.5,0.0,3,3,37.5,37.5,0.0,False,False,32,32,0,514.221,497.605,-16.615999999999985,max_steps_exceeded,max_steps_exceeded,trial_20260729T145835615827Z,trial_20260807T180038070193Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/lab_visit/run_0002/trial_20260729T145835615827Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/lab_visit/run_0002/trial_20260807T180038070193Z/summary.json,822a608449d1458a592d20eed59482b5c4fb10aa9632c29f411929db2143472b,84e8483f2b243b1d5f93adca665ff2a454b906836818b0f2824681d11f92500c
language_exchange,run_0002,9,9,3,3,33.333333,33.333333,0.0,3,3,33.333333,33.333333,0.0,False,False,32,32,0,598.375,548.34,-50.03499999999997,max_steps_exceeded,max_steps_exceeded,trial_20260729T150710485422Z,trial_20260807T180856139036Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/language_exchange/run_0002/trial_20260729T150710485422Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/language_exchange/run_0002/trial_20260807T180856139036Z/summary.json,f5c0bff47b0a65443c2fb277386a077d3138855cf9950c9b5efa4df6b42c684a,8ac5abb26b596c4fadd41f2abf4efa0933fb617898370aded7061732f72dbed5
library_membership,run_0002,7,7,4,4,57.142857,57.142857,0.0,4,4,57.142857,57.142857,0.0,False,False,32,32,0,470.335,468.182,-2.152999999999963,max_steps_exceeded,max_steps_exceeded,trial_20260729T151709838676Z,trial_20260807T181805013811Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/library_membership/run_0002/trial_20260729T151709838676Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/library_membership/run_0002/trial_20260807T181805013811Z/summary.json,c6ef1735dad82acc7a107094160e8e2a1bcbb9f914ce795172e1265b51e54519,02c1a4f687e46cf813b14be7b01146fb941dc08ef242f8f8f54d8142b7eccde1
meal_plan,run_0002,7,7,2,2,28.571429,28.571429,0.0,2,2,28.571429,28.571429,0.0,False,False,32,32,0,494.695,484.161,-10.533999999999992,max_steps_exceeded,max_steps_exceeded,trial_20260729T152500721210Z,trial_20260807T182553636683Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/meal_plan/run_0002/trial_20260729T152500721210Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/meal_plan/run_0002/trial_20260807T182553636683Z/summary.json,d7da62b040e601bbb781faf78cdf7ca3f03ec4a5c75c4525783361cc2d373665,08fd69cc17d942f557661ef78f55a7f6ecef6b478c471deeb8a23bab7d1808fc
mentor_match,run_0002,7,7,4,4,57.142857,57.142857,0.0,4,4,57.142857,57.142857,0.0,False,False,32,32,0,494.023,467.988,-26.035000000000025,max_steps_exceeded,max_steps_exceeded,trial_20260729T153316266134Z,trial_20260807T183358295581Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/mentor_match/run_0002/trial_20260729T153316266134Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/mentor_match/run_0002/trial_20260807T183358295581Z/summary.json,d490f09babf8d6fb2f1232e84eee250a0802430de9f8bc04bbbd332a5d653653,caf9bc36da426403fa5f8cf14c12eef298945e583bae129af6326cf89bcabcee
newsletter_signup,run_0002,7,6,2,2,28.571429,28.571429,0.0,2,2,33.333333,33.333333,0.0,False,False,32,32,0,504.783,496.218,-8.564999999999998,max_steps_exceeded,max_steps_exceeded,trial_20260729T154137236132Z,trial_20260807T184146860594Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/newsletter_signup/run_0002/trial_20260729T154137236132Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/newsletter_signup/run_0002/trial_20260807T184146860594Z/summary.json,a74b2db7a11be566f374472e11f2d21ee0dbec182194b7871f2a5a2d6d50e987,c85ce940a9c3cf57da4bf570bcf321f73410f19de5c833308379eacebbe37822
office_hours,run_0002,8,7,4,4,50.0,50.0,0.0,3,3,42.857143,42.857143,0.0,False,False,32,32,0,520.142,527.295,7.152999999999906,max_steps_exceeded,max_steps_exceeded,trial_20260729T155004797585Z,trial_20260807T185003627151Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/office_hours/run_0002/trial_20260729T155004797585Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/office_hours/run_0002/trial_20260807T185003627151Z/summary.json,0c42079f472a42ef69658458ded9cf5878a7b9cc2daac91d3176013bf6931d97,d26f9864b9aab7e35080378c58f0068ddf16e33067a3aae442d1898641e1f6bf
orientation_signup,run_0002,8,8,4,4,50.0,50.0,0.0,4,4,50.0,50.0,0.0,False,False,32,32,0,559.176,530.333,-28.843000000000075,max_steps_exceeded,max_steps_exceeded,trial_20260729T155848436774Z,trial_20260807T185851443943Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/orientation_signup/run_0002/trial_20260729T155848436774Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/orientation_signup/run_0002/trial_20260807T185851443943Z/summary.json,69218bceb011c756ab42861486d98f7b91b69785f6f1cb8dce5a80b968781397,e9cce767748e59eda036d53bbe95ab965558dbf03e786287a0e0a015a68cd4b6
paper_review,run_0002,7,6,2,2,28.571429,28.571429,0.0,2,2,33.333333,33.333333,0.0,False,False,32,32,0,519.981,524.977,4.995999999999981,max_steps_exceeded,max_steps_exceeded,trial_20260729T160809781214Z,trial_20260807T190742336064Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/paper_review/run_0002/trial_20260729T160809781214Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/paper_review/run_0002/trial_20260807T190742336064Z/summary.json,678ba5acd039528bb02d6d23ec107dfeac9e64f5e24a43b5a5c2555784775e2e,e395ebf31a5ddd6af55fffc7ee47a2963c6c0091c2295670900865ddb8672663
peer_evaluation,run_0002,7,6,4,3,57.142857,42.857143,-14.285714,4,3,66.666667,50.0,-16.666667,False,False,9,32,23,152.305,498.013,345.70799999999997,repeated_action_loop,max_steps_exceeded,trial_20260729T161655786635Z,trial_20260807T191627982164Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/peer_evaluation/run_0002/trial_20260729T161655786635Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/peer_evaluation/run_0002/trial_20260807T191627982164Z/summary.json,03d1b0969aa32d555dd4e33293f4fb4370c1c58c869cd1c18a1a0c0cfc7ec394,4f5d311b69ea96c7145c37dd7daf85b5d26a0b1b194102f22970f60e71e62969
project_update,run_0002,8,8,3,3,37.5,37.5,0.0,3,3,37.5,37.5,0.0,False,False,32,32,0,557.856,547.436,-10.419999999999959,max_steps_exceeded,max_steps_exceeded,trial_20260729T161929287396Z,trial_20260807T192446549962Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/project_update/run_0002/trial_20260729T161929287396Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/project_update/run_0002/trial_20260807T192446549962Z/summary.json,07ae63d15c833325416f775bf6bb47b0500283d406a2f46dfb20640a214ebbf6,9df3ef5f43d31242e35fe99aae5f5eecec4a8467f68b485d8c8e8d9b4a472d63
publication_submission,run_0002,10,9,4,4,40.0,40.0,0.0,3,3,33.333333,33.333333,0.0,False,False,32,32,0,585.782,573.884,-11.898000000000025,max_steps_exceeded,max_steps_exceeded,trial_20260729T162848869180Z,trial_20260807T193354544441Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/publication_submission/run_0002/trial_20260729T162848869180Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/publication_submission/run_0002/trial_20260807T193354544441Z/summary.json,4022167ef436830bca98d2d5e7c75c363a02f4f74d7a124ecc38eee0b4e1d0ff,c6ad1282de1ade12b9435b07a4a3961ae82cc41137c248e8c19024aeb1f662a3
purchase_request,run_0002,10,9,0,2,0.0,20.0,20.0,0,2,0.0,22.222222,22.222222,False,False,32,32,0,603.037,575.888,-27.149,max_steps_exceeded,max_steps_exceeded,trial_20260729T163836883474Z,trial_20260807T194328976504Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/purchase_request/run_0002/trial_20260729T163836883474Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/purchase_request/run_0002/trial_20260807T194328976504Z/summary.json,08cca2f6c5bbdcc047141fa75a5c696eb96a28d0a97d0d7cb855da5c5c2d70e3,49398adb6e147b09f20f34526155a5db0ce81a1e5fccd8498382713c8a5c638d
remote_setup,run_0002,7,6,3,3,42.857143,42.857143,0.0,2,2,33.333333,33.333333,0.0,False,False,32,32,0,570.251,477.523,-92.72799999999995,max_steps_exceeded,max_steps_exceeded,trial_20260729T164840883569Z,trial_20260807T195305409300Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/remote_setup/run_0002/trial_20260729T164840883569Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/remote_setup/run_0002/trial_20260807T195305409300Z/summary.json,d04ffcf3466d1464a32d17c6522d49588f2fa3aad79856459ea1ebd64575c767,3b7087bfbd99dec10d7a30e1016e75fa90affd7dd8e587aecda85696b07d0e8c
research_interest,run_0002,7,7,2,1,28.571429,14.285714,-14.285714,2,1,28.571429,14.285714,-14.285714,False,False,32,32,0,522.966,523.574,0.6079999999999472,max_steps_exceeded,max_steps_exceeded,trial_20260729T165812300449Z,trial_20260807T200103487294Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/research_interest/run_0002/trial_20260729T165812300449Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/research_interest/run_0002/trial_20260807T200103487294Z/summary.json,3a63e8513844662664a34da90900cf6f163baefa0bad329a973be01d1319206a,e4d525d9175b85632ed7205930ff0674f3cb1b9cb4ae5c94f4f54b8a2b02e9a7
